Date,Open,High,Low,Close,Adj Close,Volume
2024-02-05,628.950012,630.000000,616.700012,622.599976,622.599976,5678989
2024-02-06,622.599976,622.599976,613.000000,616.500000,616.500000,1713489
2024-02-07,620.400024,623.450012,612.099976,618.900024,618.900024,2773694
2024-02-08,621.000000,625.799988,594.000000,595.599976,595.599976,3862384
2024-02-09,600.000000,605.750000,592.250000,603.900024,603.900024,2343195
2024-02-12,608.000000,609.450012,585.500000,594.700012,594.700012,5184975
2024-02-13,600.000000,602.450012,587.349976,593.799988,593.799988,3185544
2024-02-14,589.950012,594.750000,580.200012,590.750000,590.750000,4560881
2024-02-15,595.000000,595.000000,580.450012,581.900024,581.900024,2107954
2024-02-16,582.099976,585.849976,579.000000,581.750000,581.750000,2145814
2024-02-19,584.500000,603.900024,581.700012,599.349976,599.349976,4840679
